,SNaive,ETS,HoltWinters,SARIMA,LightGBM,MLP,NBEATS
D1,20.026199220355803,14.611047258329188,17.665186944175538,15.857327189187554,15.753742674379822,16.14506154757398,17.35136968253897
D2,13.299757238963467,8.74605004076916,9.94112328210014,9.368829309988511,11.399302167178442,11.294029499163278,10.891012080925728
D3,10.249965827681027,7.590531332044164,8.651154167431882,7.542524851201802,8.83029372122912,8.7393234268176,8.984337351741475
D4,17.156692970033998,12.924743080264184,14.520430929130624,14.098914482375907,14.74785382723189,14.368056276653935,14.961588472353437
D5,17.78751908369837,13.311404284951426,14.893430007842914,14.31510891967012,15.053569809171096,15.169603782052306,16.28056087283407
D6,16.462148667014084,12.599284556416437,14.67638390021867,13.703289112641237,13.920567393608941,14.246079656419042,15.22977070518906
D7,13.443077047972332,8.20403899664251,10.307054393885712,8.69346400969081,10.363033748266643,9.926511089990699,11.422805770650122
D8,10.901493327106262,8.638611549127164,9.592480713628618,9.547366114785186,9.05721431930914,9.189213679818183,9.517688133296495
D9,10.815435841359387,7.723756592254955,8.097526742286266,8.286824512607893,8.666216197146069,10.0625801351327,8.717405103788272
D10,8.576058890946209,6.94514847603017,7.8905880428932065,7.946253180188233,8.095988123036058,7.700973489185576,7.840810752348939
