model,diff_mean,ci_lower,ci_upper,significant,n_series
SNaive,0.0,0.0,0.0,False,200
ETS,-3.8520620905603424,-4.517052950230083,-3.2642052287314547,True,200
HoltWinters,-2.725497695500538,-3.5147210224492254,-2.0284047764195714,True,200
SARIMA,-3.1543213152665244,-3.94505255408807,-2.4812426616487477,True,200
LightGBM,-1.9980060686389731,-2.5722238512137285,-1.4470119359023466,True,200
MLP,-1.8979818556570205,-2.4530712910429036,-1.321795694503666,True,200
NBEATS,-1.065444168228271,-1.509475332103199,-0.5959791047320833,True,200
