model,series_idx,fold_id,decile,MAE,RMSE,MAPE,sMAPE,MASE,WAPE
SNaive,0,0,1,339.1111111111111,361.7092140871664,33.883437827760496,28.499434089086918,1.1466602259614094,34.06440091522964
SNaive,0,1,1,63.611111111111114,77.6197998794981,6.133610784281744,6.341123819237154,0.21421889616463985,6.191531931000919
SNaive,0,2,1,110.22222222222223,119.85407794480753,12.090699715460513,11.339077108263004,0.4300719282687949,11.69328696882183
SNaive,0,3,1,104.55555555555556,123.87269450708031,11.2086013913184,10.760229394833773,0.4500239120038259,10.906351414000927
SNaive,1,0,1,580.5363561111111,616.690203176443,35.791684107040204,44.36707082296843,4.270943569525234,36.64566724343315
SNaive,1,1,1,546.1469960555555,621.4395528575691,25.954013737521326,30.846591712309895,2.61686114613045,27.208023077446526
SNaive,2,0,2,259.0083395870944,273.6521925589797,13.41581901747389,14.484307515883934,1.6624918339976735,13.583835689241077
SNaive,3,1,4,447.1222222222223,536.7418363504833,17.148450948301935,16.119549198257538,0.26222781670140294,16.91523257866817
SNaive,3,2,4,1027.677777777778,1116.8716408890602,29.417462081087265,35.35136297737976,0.6955567884231681,30.515414258188827
SNaive,3,3,4,898.5444444444444,993.6141806556507,35.30055931535846,29.32735846166891,0.62726626165425,33.58521517935939
SNaive,3,4,4,841.1222222222223,936.8071003858443,42.972356753527414,33.727770969050766,0.6173615766407167,40.78190320217213
SNaive,3,5,4,336.03888888888895,425.67811587317163,16.706414114258365,15.312564189842895,0.26326860679852643,15.55291570564988
SNaive,4,0,1,674.8032315,762.7778868227604,57.67348715433436,41.285981098961486,2.008652999976906,48.17640347770869
SNaive,4,1,1,457.43562477777766,552.2641556681375,39.32421820150528,31.267921037780184,1.1964659388175518,37.60863411000672
SNaive,5,1,9,4627.222222222223,5118.518123224511,27.45149803457727,32.85718357900873,1.9551643192488266,28.039994613520065
SNaive,5,2,9,2235.5555555555557,2556.5754003701472,13.028514563843673,13.742622556830622,0.8779926609144105,13.263019116677654
SNaive,5,3,9,5728.888888888889,6221.508391593366,52.0803164888521,39.23210163569136,2.227139819245082,47.003053922238934
SNaive,5,4,9,5506.111111111111,5817.7510928001875,68.64756530142515,49.28310267554299,1.9520601906562673,65.60534851393393
SNaive,5,5,9,2658.3333333333335,2722.634549271879,40.2891996402582,33.28914736960578,0.8853877551020408,40.159462861938735
SNaive,6,0,7,1296.6853545378112,1493.4958297441315,12.910830530437353,14.068587647919584,1.2330453846679512,13.408174714034981
SNaive,7,0,2,239.41472222222222,256.3533382663034,12.234477731357401,13.14669119007195,1.6740950329200022,12.339351971885694
