model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std,WAPE_mean,WAPE_std
SNaive,658.0836133624662,983.7783733773459,759.0997263389602,1130.8312297634752,14.18602912170038,15.610724306158252,13.667440468487447,12.657873950978408,1.412135826703952,1.1024193669743922,13.813213763515817,14.74445307548998
ETS,476.19906809313113,728.9260843140669,559.2069488244763,839.5858747335119,10.571428042806096,12.601886503630412,10.005364453470126,10.512240014294795,1.0167004026082078,0.9028657314777159,10.08127775449517,10.872612912803799
HoltWinters,547.2916232251085,880.8773069580524,643.4600148562753,1039.4344556107778,12.158704242897215,15.411485544240978,11.157181838697047,11.822485555322896,1.144596182553787,1.0888975320071752,11.582768563067939,13.242401619768344
SARIMA,519.2150756872538,816.8728512790574,607.5375289996941,953.5689476771723,11.470395049275309,14.148162501912449,10.824683916869093,12.263935341174662,1.0930733794688323,1.0308414604829803,10.880952955259124,12.20287065481519
LightGBM,552.6315659051388,701.3760337090641,639.0834793352013,802.137966516654,11.961798673298862,11.88643114223501,11.682360111116084,10.535580582124007,1.2911768641556247,1.1124773210564647,11.541889051139982,10.558820453361282
MLP,564.9041232365553,715.7169680911655,652.2777541000684,820.2474405374838,11.905693524386589,11.44935077061664,11.844215705241583,10.635127207070974,1.3513575504010176,1.111893312609871,11.636676408218916,10.560852790893591
NBEATS,583.9662306568896,757.4727417050522,677.494852870277,855.2292925653547,12.328004600740364,12.246675959564953,12.375188442771979,11.445139920204793,1.339905166510194,1.0866726612643436,12.074262720513817,11.428611803788893
