modelo,n_series_evaluadas,tiempo_ajuste_total_s,tiempo_ajuste_medio_s,tiempo_inferencia_total_s,tiempo_inferencia_media_s,tamano_serializado_bytes,tamano_serializado_kb
SNaive,200,0.00011269957758486271,5.634978879243135e-07,0.000861500040628016,4.30750020314008e-06,323,0.3
ETS,200,24.13966879947111,0.12069834399735554,0.00655299995560199,3.276499977800995e-05,15337,15.0
HoltWinters,200,32.07039040036034,0.1603519520018017,0.3647741002496332,0.001823870501248166,28836,28.2
SARIMA,200,46.52029240014963,0.23260146200074813,0.04579130024649203,0.00022895650123246015,10555,10.3
LightGBM,200,1.0118801000062376,0.005059400500031188,0.5764785988721997,0.002882392994360998,753994,736.3
MLP,200,45.42709310003556,0.22713546550017782,0.108376499498263,0.000541882497491315,64947,63.4
NBEATS,200,80.75550740002654,0.40377753700013275,0.40132300020195544,0.002006615001009777,1377379,1345.1
